year,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
4187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10197,894,682,1425,0,0,0,2275,3233,2340,0,0,17420,11756,7186,6257,22324,23392,176197,132037,0,0,
4281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7340,10571,7873,16121,0,0,0,0,0,0,0,0,0,0,0,18275,15252,16804,21740,39070,21117,24274,27412,22753,55715,
4285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
4310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49493,10748,18849,11580,0,9391,0,0,,,,,,,,,,,,,,,,,,
4317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3215,,,,,,,,,,,,,
4344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5588,5523,4908,5282,2300,3603,2705,1884,2385,2670,2710,,,,,,,,,,,,,,
4447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12037,12502,12811,13279,0,0,0,0,0,0,0,9286,7322,7915,8303,9099,10496,10190,15509,10269,6007,10649,12385,10747,9312,
4611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7863,21235,9447,1272,1122,512,2022,3095,5543,6247,9180,6997,25647,23236,20303,15989,0,,,,,,,
4904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27894,27457,34006,41406,0,23933,20,20,-337,-888,0,0,0,0,0,0,0,0,0,0,11171,12265,13399,12802,
5187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43952,31077,59235,46954,46812,40901,42559,569,21745,1101,728,700,0,0,0,0,,,,,,,,,,
5337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7269,8525,18789,8094,13396,6840,7830,10108,7639,11514,0,4038,4374,0,3170,2301,2114,1985,1550,1669,1774,,,
5907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26951,0,61998,0,0,0,0,181854,137470,34011,31076,33065,,,,,,,,,,,,,,
5981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35636,8888,8047,7726,0,0,3174,0,29059,0,16354,0,0,0,0,0,0,0,0,0,0,0,0,
6176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,11675,2329,2759,3712,3839,4347,3184,3820,3120,3048,3125,3261,5366,7044,
6201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14900,31347,23757,33318,119432,121040,44932,20676,16887,19471,25108,24869,31989,91077,0,30779,32249,31954,66448,47373,93047,13463,19352,16587,74928,
6207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6800,7824,6107,8436,11108,6227,6146,7125,5109,7121,7585,18260,8237,5189,4125,2933,3709,9773,12232,5544,14762,18102,5197,6533,6015,
6260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11168,,39629,10584,580,997,,4893,6046,17087,4364,,,,,,,,,,,,,,,
6281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20921,28023,26383,0,0,0,0,2061,9476,17364,4511,6310,8441,7705,6026,6016,7155,26910,27890,32908,31074,34528,34611,,
6284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7914,8003,8147,7780,8795,10136,12443,9553,2037,6581,,4822,3527,5069,6329,6412,5945,5889,6832,6190,5133,4447,5328,7459,,
6292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,5783,5862,4432,4258,2252,,,,,,
6314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4625,963,1158,1280,2466,4428,10932,1701,2494,2134,6204,6361,3927,9516,7794,6983,6677,7041,,,,,,
6383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,19888,59702,2120,1704,2399,2507,3837,7929,5853,15799,10250,,,,,,,,,,,,
6494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18035,8201,30833,3917,3372,6448,2940,7293,,,,,,1667,1479,1593,1135,1077,1311,1626,2042,1438,1496,
6720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7579,15547,11721,3480,1438,1347,2273,2588,2733,14765,9514,9185,9773,,,,,,,,,,,,
6769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42673,75455,42746,34062,27831,50603,33654,5669,4236,6237,17546,12001,12236,10740,11841,9907,10023,18299,9724,9360,8647,7499,8278,25575,26790,
6814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12799,31319,17696,16669,1454,1307,3117,4777,2952,2656,2389,3598,3885,3138,14399,4801,,,,,,,,,
6885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13316,54580,57968,11807,0,3897,4675,4900,4624,15307,0,0,0,5607,5982,6433,6986,7447,22913,20033,21659,20236,21764,
6951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16706,18836,30730,473,3847,3963,4501,4491,4698,4813,7763,4510,4708,20151,22773,26159,14651,6743,12055,6605,7258,6296,8493,10664,
