year,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
GDP,2.29999999999977,6.09999999999999,4.40000000000002,5.80000000000014,6.39999999999984,6.50000000000024,2.50000000000003,4.79999999999974,3.10000000000004,3.20680725745444,3.29547672836176,5.26326277619982,5.64312484755203,-0.51715456222523,-0.197678536519447,5.38609005075547,4.60859740653179,5.5616849289446,3.17569075012061,-0.244596225208085,2.59447038823151,-1.91089106804856,4.63245718120484,7.25908695936059,4.23873752083914,3.5116144990922,3.46174769185008,4.20397197941296,3.68052403304715,1.91937029742549,-0.0740845307123976,3.55539614766758,2.74585671892275,4.03764342486481,2.71897578878193,3.79588122942587,4.48702649316731,4.44991096328404,4.68519960839866,4.09217644881066,0.975981833932124,1.78612768745552,2.80677595648093,3.78574284969444,3.34521606334877,2.666625826122,1.77857023965289,-0.291621458693953,-2.77552957416808,2.53192061616315,1.60145467247139,2.22403085385714,1.67733152992453,2.56919359418927,2.86158702527237,1.48527919319146,2.27333854830167,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,874,525,5208,5039,3178,6722,4635,4959,3467,1736,1416,-6,1902,1736,12,,,,,,,,,,
1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3225,0,0,0,0,917,984,626,660,524,1482,202,277,267,206,25639,30107,28744,31422,37719,
2034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,578,550,3520,2635,790,2170,2670,8752,5398,8696,932,0,1485,1015,11521,7930,7448,6521,6347,7394,8773,26680,
2070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1756,,,,,,,,,,,,,,,,,,,
2098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635,-758,315,50,60,60,60,60,0,383,2466,2938,2731,4222,1325,1160,3555,3595,3258,3031,1358,4509,0,0,
2135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13585,10307,12913,10870,2483,8040,22936,18068,25211,50751,82137,71007,27958,27655,,,,,,,,,,
2178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2054,2434,0,0,0,1752,4032,4671,5291,3990,3731,3343,2435,15582,5708,
2186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1071,881,815,362,1237,2844,2635,4326,1898,7169,9014,9834,5999,4258,4961,3132,2447,2681,3635,3555,3486,4676,3656,1692,
2488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29892,71576,37602,112508,14495,18132,11835,9570,15859,22815,41605,45117,25236,27927,28046,31528,26539,23287,15485,12774,14263,24982,37856,38025,25265,
