year,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
2491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9401,16395,49100,24066,20378,11635,9278,9330,5021,6382,2320,4039,13315,19323,28965,26478,26599,30873,33551,27902,,,,,
2589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880,2884,2535,5270,3861,3514,3309,4860,3087,,,,,,,,,,,,,,,,
2601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,305,100,0,0,0,0,0,0,0,20,,0,0,1631,,,,,,,,
2809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,6375,15313,21874,23483,32348,31235,9226,13140,22510,21507,21677,9382,13433,15168,44428,0,
3116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1531,5986,5465,5000,6079,3939,80,40,31599,15557,14142,3967,6963,5284,14690,14832,11839,15360,7990,6288,,41900,27842,18972,
3124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,1045,2055,0,0,0,9884,2854,2481,1919,18218,18825,22895,28635,8742,14066,10311,10054,5318,
3370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26270,8184,38975,7482,5668,8744,0,0,26944,0,40099,50947,11104,7749,8257,,,,,,,,,,,
3499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12337,2732,3954,8163,364,2581,2328,3328,2205,1938,1552,2102,0,0,3393,3016,2967,6045,4103,2364,4040,3199,3749,19173,
3570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26877,14350,21719,13391,7890,7699,14561,6748,12276,17109,20935,17551,11993,20339,21083,19124,26815,28836,33210,44150,40524,27503,
3673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,16224,36493,41084,24841,34638,22671,24203,20917,,,,,,,,,
3721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
3753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1959,3802,4306,5982,5291,11403,4869,1337,-221,567,4359,,,,,,,,,,,,,,,
3941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3224,6865,5095,15875,10405,32952,4917,,,,,,,,,,,,,,,,,,,
3952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5657,5930,5668,6064,7198,3609,5376,0,0,0,0,0,472,0,0,3331,6019,8629,5466,,,,,,
3982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461,1325,1639,2543,18108,7042,9813,2886,3974,9662,92470,27236,21008,19953,9752,13959,8760,,,,,,,,
4127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,15251,10025,13182,8951,8425,15816,7858,4493,16975,13356,16598,17901,17556,19438,20691,
4164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5639,2774,5870,16979,10280,4804,8957,8158,12062,8448,6944,0,,,,,,,,,,,,,
4187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4018,1980,20,0,0,0,0,0,0,334,58,444,465,285,562,25670,13751,34603,21626,9352,0,0,
4281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,5084,2490,5792,7117,7723,12423,15028,19938,14651,9072,7977,3443,6039,8086,9694,9182,3725,25122,
4285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8981,1825,-302,22482,3042,1475,6743,9498,14535,3114,2848,,,,,,,,,,,,
4310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18370,10758,29242,27839,4077,15715,4069,917,,,,,,,,,,,,,,,,,,
4317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6169,4171,,,,,,,,,,,,
4344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7668,4818,4265,4431,7179,7625,6025,6399,8841,4991,4226,,,,,,,,,,,,,,
4447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3593,2837,4727,39163,4019,32096,6179,4459,6422,13897,10537,12436,12399,12599,10860,9363,8045,8666,9545,13667,14419,7204,6771,7795,6699,
4611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,63,1413,11946,12676,21761,20323,16280,18169,3444,16066,14449,,,,,,,,
4904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,69,60,60,20,108949,0,0,0,0,48760,105023,120819,102553,139595,115256,101868,75418,70962,113404,
5187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8926,9742,15317,16705,18659,13008,25810,17819,12772,8865,16658,17973,33192,28324,27837,20513,,,,,,,,,,
5337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-40,0,12704,9968,27696,,,,,,,,,,,,,,
5981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2866,3411,5863,3718,4039,5162,5046,7524,9780,29758,4915,8769,7074,11594,6226,5579,11027,8904,7248,5644,7362,10259,9088,3880,
6176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6206,7013,12540,11607,28096,11687,10407,4886,4185,12412,5292,6571,8160,4486,12616,11144,11478,10059,27344,37862,69508,49597,40892,48563,63709,
6207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2878,0,0,0,0,473,1520,1412,2434,3459,3825,5357,5421,1582,2708,2804,7591,15068,17513,18406,12827,10841,10438,12704,
6260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5186,10685,5479,5148,5290,10877,5278,4729,24854,14789,18994,,,,,,,,,,,,,,,
6281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12096,22257,14186,25012,2171,15842,2179,2894,6238,22774,19112,20097,38918,39807,47320,41593,43833,33861,20489,41091,44695,41324,42230,52864,42728,
6284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,5808,9224,0,25694,3531,22132,21189,25297,34504,39558,38077,40469,39847,34295,40475,33517,34859,35872,23981,
6292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3088,4832,5668,4023,15774,5233,2451,5496,3122,12844,6802,0,0,13218,10206,4213,5218,2452,1236,,,,,,
6314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3323,3341,6205,14437,7301,5642,0,0,2476,7133,13753,18955,53269,21515,6839,3629,10259,12932,14064,5570,,,,,
6383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1071,5666,5909,1376,870,76,2754,3068,6453,9076,16301,2386,,,,,,,,,,,,
6494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5484,21041,5513,7582,5947,7087,10676,15740,,,,,,0,0,5120,3532,2945,2243,3339,3797,2843,3599,1418,
6720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,20,20769,5663,,,,,,,,,,,,
6769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1587,523,0,200,-466,0,0,0,0,0,0,10099,11770,14457,9279,8059,2170,10285,15376,5988,2055,13898,24573,28739,
6814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8355,45007,13934,6746,3152,4777,8650,5862,9516,5688,6599,3304,1680,0,4481,4838,,,,,,,,,
6885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2623,0,0,1701,818,603,4314,9368,8514,12475,7268,0,0,3638,4522,5758,8199,7646,22414,21576,21355,21923,24776,21769,
6951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1499,0,0,-51,1130,674,121,540,1526,9096,4957,6440,5938,5427,2989,7463,11931,33031,44692,41027,38273,38247,40040,43134,
7039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1342,5881,6465,2318,3370,4080,5200,,9873,8292,14615,2809,0,0,5945,6916,7176,6704,8187,8395,11973,22410,14225,
7084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,160,0,0,22,0,0,0,1292,6937,10318,2865,0,0,3039,0,2966,7569,4833,22747,24138,30028,23719,28000,18969,
7332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,12419,11401,10287,12420,9135,10657,11756,14307,14655,26377,673778,13983,13753,11871,13699,10753,
7431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6137,7148,11484,11840,21211,4465,9626,3773,4936,-1805,11336,8637,23006,11534,7895,14477,20825,25388,3968,6667,7271,5158,5987,6657,8485,
7536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3321,2912,25056,3337,1175,2018,1182,770,1837,1479,6992,2187,5555,18968,27666,17571,1788,30556,26813,26969,31549,29850,25462,27578,20491,
8063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855,,2969,3837,3498,2605,3798,1937,1125,2734,4485,6020,21544,4647,3560,5306,4261,4364,6593,7550,15444,14878,22039,14382,
8146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,16358,15072,21367,21150,19156,22633,22606,21580,22883,9016,26542,34745,24774,
8411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2586,0,0,5368,0,0,0,0,0,10284,20390,23984,15105,16598,19983,,
8670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,249,0,0,0,0,2147,8408,11542,15122,17819,12959,22792,25420,12221,25696,44944,37621,30707,35379,37004,33110,35316,
8818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,6362,8461,4042,19462,13184,11685,18701,19174,16443,13091,8575,7843,9638,10460,11245,10726,10698,10075,13663,11584,
8858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5396,6569,7375,4872,3274,2725,3928,4288,4246,6331,14710,23798,28651,21659,22791,13736,15389,20366,15348,16046,21084,15248,15943,18937,12538,
8868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63937,14060,52396,17337,23212,14118,18079,28497,72452,12655,21597,20252,25459,31203,37276,29133,34680,32350,40347,38509,36489,38357,42773,31569,40479,
9092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2278,2078,3692,3569,608,-516,1141,432,919,-184,4027,,,,,,,,,,,,,,
9263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1683,2368,5163,2838,4428,4687,1739,12604,16740,16097,11812,12653,21406,24074,15488,,,,,,
9326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1587,0,0,0,0,0,4907,3228,7844,5642,4892,3348,5408,4552,7385,4244,
9342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1944,2386,2231,2196,15231,9117,4366,114,876,1999,9270,10691,9918,13061,8261,11022,7078,,,,,,,,,
9389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6544,6321,3705,7677,11382,3983,3640,2512,4111,1529,5292,4266,1383,0,0,2390,7398,8810,8268,7189,8297,5896,9766,13141,11695,
9534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,5485,3670,1706,5739,5606,3922,847,,,,,,,,,,,,
9779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11224,11388,43106,32250,68085,8427,14090,11031,12115,12401,19323,21005,6924,0,13919,,,,,,,,,,,
9801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2736,2244,2336,1374,3054,2223,5513,9579,13177,,,,,,,,,,,,,
9892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,59790,43942,51268,53205,21348,20616,21785,23197,24263,26080,24305,25863,27524,29756,,
9984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2610,5258,5463,25864,10562,6180,4623,2136,5237,8594,19412,23725,32253,21487,27809,24605,25462,24226,25785,31142,34039,25557,30206,35611,46639,
10048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2383,,,,,,,,,,,7258,13080,25684,32798,34158,34087,25949,15137,23476,25183,20398,17766,18853,
10081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6259,8264,10325,15258,5901,5199,12697,12748,14267,15477,10461,6430,9893,13462,,,,,,,,,,,
10119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24097,,,,11,913,,,,,,,,,,,,,,,,,,,
10254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7953,3092,3459,4695,5981,6268,9533,14612,15913,22070,39944,
10456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5032,3961,8678,15256,37541,12923,10920,13298,24867,33091,25235,23549,29918,31862,31836,31513,33264,40123,39401,9498,6691,30830,26239,
10795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5112,6397,7616,5209,3382,2962,2204,3359,5209,4748,9244,3959,6566,7276,5924,5750,7096,8341,9406,11896,14518,17540,28308,31624,29137,
11199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3110,2856,3322,3196,3304,37106,2270,2076,1045,2203,4675,5163,4949,3932,1909,2994,5391,2851,4312,13939,18200,13686,15648,21200,25134,
11390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16217,10122,11655,8275,7901,67877,7343,7564,2094,,,,,,,,,,,,,,,,,
11860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1628,0,0,0,0,0,0,1113,2879,,,,,,,,,,,,,,,,
12040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2697,877,3836,9362,10214,6552,4976,3711,6657,5933,4011,5853,9381,8695,
12180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1097,573,-347,,,,,,,,,,,,,,,,,,
12208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3425,6514,5331,14545,24366,5825,3552,4309,4032,6210,7226,6487,6927,7080,10651,12671,4484,18150,38969,38320,33030,24110,18873,0,0,
12355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,24093,17678,6411,7065,5597,14320,19844,24884,21851,25988,23575,,,,,,,,,,
12654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
12927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27656,5084,10368,22533,1058,1187,3754,4846,5424,11305,37732,62257,23691,25133,24459,22436,23799,24195,21442,25320,29244,27306,28843,28316,24835,
12978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740,317,4162,1568,4555,14823,7800,3772,5173,9043,28126,46529,6201,1639,8102,8605,10205,10814,9471,12036,,,,,,
13573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,727,756,398,518,1054,1670,1374,2757,0,1556,2572,2159,2085,2281,2607,2590,3502,2844,
13606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1207,2451,8228,13017,6609,13145,2641,0,0,0,0,0,5840,14707,7040,1698,,,,,,,,,
13610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,11570,10707,6518,6340,36605,8554,10425,9224,,,,,,,,,
14195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3916,6339,4539,4429,1277,2936,2952,1613,2398,2582,7832,3952,11059,3027,3741,3244,3436,9471,15343,11830,15413,14764,16725,14035,11813,
14272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,20524,16797,17808,10963,27925,54521,31851,50053,50232,50961,50496,31886,25418,23111,26930,26380,29747,24529,20246,27212,
14280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,524,3892,13640,8277,,10702,0,0,5503,,,,,,,,
14637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25713,6600,5022,95340,448,137,4009,1525,3214,628,,,0,,,,,,,,,,,,
14803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,540,492,0,8884,5802,5966,5804,6217,2707,,,,,,,,,,,,,,,
14846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5138,4938,3571,12072,4335,4384,5821,6190,7112,7923,7175,9143,8076,2177,0,0,0,3949,26952,25632,21104,18358,22948,20909,12485,
14930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,7226,35556,36365,10814,4469,7858,10361,16236,4513,0,0,0,11745,34655,30604,33806,41710,48737,50505,45190,34323,38844,
14995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17856,25406,11367,6679,9923,4135,3133,4679,3284,5091,,,,,,,,,,,,,,,
15615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8066,0,0,0,0,4241,3914,0,7577,6590,7898,5508,10581,24786,29241,36424,44296,78110,68621,69563,46591,50675,42860,47405,51491,
15678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1236,,,,,,,,,,,,,,,,,,,
15840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9641,5711,10810,5828,12965,5514,2115,3519,2928,10282,,,,,,,,,,,,,,,,
16040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19598,8008,9787,23194,19547,7766,15354,15893,8097,8507,23134,28562,36535,31311,30490,27094,36879,42713,38565,39207,49690,48625,41509,37782,52171,
16058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1303,4787,7740,7069,12478,12402,6881,6210,4905,5656,7519,7346,11116,8648,14022,13783,13995,13736,17215,13530,12273,12760,15769,15753,13658,
16104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3647,4357,5020,5348,5609,4673,4880,3228,,,,,,,,
16357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3396,41533,25435,4797,2286,,,,,,,,,,,,,,,,,,,
16614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,169,0,0,0,0,160,360,14212,18720,16196,30581,21252,49699,24841,,,,,,
16741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466,1231,1501,1318,1720,2204,1604,2484,4184,4204,4606,4895,3529,6169,4599,4867,4377,4603,4992,5005,4800,10294,11418,59410,
17843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14637,2434,0,515,2344,0,0,0,591,3110,6897,9995,9035,9916,7905,3192,5520,12120,19314,16505,9137,24765,23383,30198,38977,
18061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2168,997,1689,0,0,0,308,2915,3602,8295,5822,6144,7674,8562,-1013,5085,5234,1100,,,,,,,
18072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16714,5921,1568,4676,1814,3874,4021,6885,5878,10911,5161,6290,4773,4921,,,,,,,,,,,,
18172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3621,5606,3918,4009,4525,3426,3706,4015,1954,1594,3589,0,11162,17800,14071,20196,19499,10516,5028,16065,20891,16490,39168,46906,27277,
18230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11960,12459,13553,14784,28035,5551,12620,10712,10990,25794,46449,13581,0,0,85606,44560,102194,39651,69217,60373,57839,53516,60842,60682,56808,
18255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,2307,1305,1817,1394,1288,1914,2608,3022,4639,5862,5029,3471,2955,2539,
18396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,6134,2362,2968,22414,22925,16931,8582,14897,6022,18858,12861,19592,17163,22910,14174,,
18498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,40,0,0,0,5035,16324,9523,11440,28434,14858,26299,32372,32335,41240,37379,415824,38425,37879,36370,26269,15999,
18532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5410,7074,7294,14706,10087,6419,3072,4712,9858,18840,29852,33852,32119,32944,36422,25037,,,,,,,,,,
18808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9414,17647,12895,23610,17411,73592,25827,9966,16446,11638,17151,19037,14009,6154,-91,6435,15521,15534,3743,,,,,,,
18914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1030,1315,1445,0,0,3798,,,,,,,,,,,,,
18926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26887,0,41361,54908,36019,0,140,23737,38381,14120,18987,22961,0,0,0,0,20199,33443,42121,30629,34928,36875,32461,45156,23546,
18937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5098,6567,1980,2458,-180,995,1534,1255,2667,3758,2882,5843,5931,5734,593,2040,3087,1943,,,,,,,
19149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8586,7333,10443,7435,8154,6137,7449,7661,9046,2671,0,0,2340,3117,6925,814,49755,34334,18708,1244,1468,,,
19252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,21412,9204,11260,6436,4201,11411,1530,0,0,,,,,,,,,,,,,
19353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5491,4780,7575,12517,14068,18555,12695,9033,21011,13711,26998,22095,7114,11747,18912,27787,30864,25256,8251,,,,,,,
19411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1349,0,0,0,45680,26033,14203,20846,23696,23659,21954,21544,19389,22022,22602,20395,16035,11965,13766,7814,
19446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2837,4198,5474,3807,4373,4285,5427,5752,12216,11004,20808,28191,28533,30633,29745,29057,29921,30282,32050,33293,33271,23422,27774,25961,
19584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13721,10184,23361,8612,10173,8244,9776,7090,9470,21744,6514,4011,12337,5626,4078,5395,4416,4636,3111,1842,967,6133,7439,6301,7212,
19612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7536,10690,8900,7929,5792,6835,7192,6679,6021,17435,20855,50022,48854,40556,26983,26000,30041,53430,66223,68920,84440,85947,99736,61484,
