CIK,Year,Sentimental Score
20,2009,9368
20,2008,3978
20,2007,3511
20,2006,4156
20,2005,3814
20,2004,2203
20,2003,1394
20,2002,742
20,2001,924
20,2000,897
20,1999,574
20,1998,487
20,1997,6525
20,1996,23472
1800,2018,9188
1800,2017,9167
1800,2016,8841
1800,2015,8205
1800,2014,7653
1800,2013,14420
1800,2012,9340
1800,2011,7701
1800,2010,5427
1800,2009,4711
1800,2008,4230
1800,2007,5317
1800,2006,4920
1800,2005,4592
1800,2004,3014
1800,2003,1788
1800,2002,787
1800,2001,1151
1800,2000,0
1800,1999,0
1800,1998,0
1800,1997,26060
1800,1996,13629
1800,1995,10180
1800,1994,27153
2034,2018,6827
2034,2017,112859
2034,2016,5555
2034,2015,0
2034,2014,5713
2034,2013,6242
2034,2012,6470
2034,2011,5217
2034,2010,4303
2034,2009,4143
2034,2008,0
2034,2007,3156
2034,2006,1725
2034,2005,2621
2034,2004,3886
2034,2003,3012
2034,2002,2235
2034,2001,868
2034,2000,1198
2034,1999,19529
2034,1998,24937
2034,1997,6556
2034,1996,5629
2034,1995,16157
2070,2000,0
2070,1999,0
2070,1998,0
2070,1997,0
2070,1996,0
2070,1995,0
2098,2018,4752
2098,2017,3590
2098,2016,2889
2098,2015,3353
2098,2014,2782
2098,2013,3058
2098,2012,2924
2098,2011,2448
2098,2010,0
2098,2009,2869
2098,2008,2814
2098,2007,1944
2098,2006,1680
2098,2005,1814
2098,2004,1330
2098,2003,988
2098,2002,1120
2098,2001,6808
2098,2000,205
2098,1999,5203
2098,1998,8073
2098,1997,5041
2098,1996,5063
2135,2009,15331
2135,2008,14410
2135,2007,116281
2135,2005,14735
2135,2004,8832
2135,2003,12186
2135,2002,9620
2135,2001,5782
2135,2000,3866
2135,1999,19233
2135,1998,14773
2135,1997,36983
2135,1996,23336
2178,2018,14393
2178,2017,2628
2178,2016,3086
2178,2015,3176
2178,2014,3695
2178,2013,3835
2178,2012,4205
2178,2011,3955
2178,2010,3314
2178,2009,0
2178,2008,0
2178,2007,0
2178,2006,0
2178,2005,3928
2178,2004,4400
2178,2003,3347
2178,2002,1747
2178,2001,1457
2178,2000,1617
2178,1999,1290
2178,1998,6502
2178,1997,6327
2178,1996,11538
2186,2018,0
2186,2017,2626
2186,2016,1764
2186,2015,10573
2186,2014,10236
2186,2013,2989
2186,2012,2637
2186,2011,4004
2186,2010,4050
2186,2009,3165
2186,2008,5140
2186,2007,5796
2186,2006,5714
2186,2005,4850
2186,2004,4661
2186,2003,3181
2186,2002,1902
2186,2001,1268
2186,2000,727
2186,1999,358
2186,1998,16822
2186,1997,17529
2186,1996,0
2488,2018,32981
2488,2017,34520
2488,2016,30578
2488,2015,5901
2488,2014,7846
2488,2013,7371
2488,2012,14144
2488,2011,13887
2488,2010,13190
2488,2009,18581
2488,2008,15307
2488,2007,12481
2488,2006,12963
2488,2005,14348
2488,2004,10377
2488,2003,7036
2488,2002,0
2488,2001,0
2488,2000,0
2488,1999,0
2488,1998,6358
2488,1997,35678
2488,1996,27990
2488,1995,45491
2488,1994,73348
2491,2014,6808
2491,2013,6689
2491,2012,6759
2491,2011,8001
2491,2010,6947
2491,2009,7329
2491,2008,8283
2491,2007,27381
2491,2006,7878
2491,2005,0
2491,2004,8487
2491,2003,6922
2491,2002,7858
2491,2001,7276
2491,2000,7577
2491,1999,9491
2491,1998,8827
2491,1997,149162
2491,1996,22296
2491,1995,17995
2589,2003,0
2589,2002,0
2589,2001,3637
2589,2000,0
2589,1999,0
2589,1998,3794
2589,1997,3245
2589,1996,4499
2601,2010,5306
2601,2009,0
2601,2006,0
2601,2005,0
2601,2004,0
2601,2003,0
2601,2002,0
2601,2001,0
2601,2000,0
2601,1999,0
2601,1998,0
2601,1997,0
2601,1996,0
2601,1995,0
2969,2017,40228
2969,2016,12143
2969,2015,14029
2969,2014,13086
2969,2013,37516
2969,2012,11562
2969,2011,12795
2969,2010,11782
2969,2009,6059
2969,2008,0
2969,2007,0
2969,2006,0
2969,2005,0
2969,2004,0
2969,2003,0
2969,2002,0
2969,2001,0
2969,2000,0
2969,1999,0
2969,1998,0
2969,1997,0
2969,1996,41704
2969,1995,31335
2969,1994,22760
3116,2018,36215
3116,2017,19601
3116,2016,10601
3116,2015,6648
3116,2014,8655
3116,2013,9440
3116,2012,12719
3116,2011,10537
3116,2010,10665
3116,2009,22218
3116,2008,7511
3116,2007,8691
3116,2006,7669
3116,2005,7630
3116,2004,7455
3116,2003,15913
3116,2002,13990
3116,2001,3127
3116,2000,3518
3116,1999,1434
3116,1998,6954
3116,1997,10871
3116,1996,42292
3197,2018,9771
3197,2017,7833
3197,2016,8164
3197,2015,8923
3197,2014,7008
3197,2013,7125
3197,2012,6886
3197,2011,5701
3197,2010,29183
3197,2009,6140
3197,2008,6034
3197,2007,5132
3197,2006,2942
3197,2005,6388
3197,2004,3089
3197,2003,2633
3197,2002,1830
3370,2007,7705
3370,2006,7371
3370,2005,16377
3370,2004,7207
3370,2003,4763
3370,2002,8626
3370,2001,0
3370,2000,0
3370,1999,0
3370,1998,0
3370,1997,0
3370,1996,45706
3370,1995,101956
3370,1994,78112
3499,2018,11388
3499,2017,2380
3499,2016,2657
3499,2015,2530
3499,2014,2594
3499,2013,3475
3499,2012,2773
3499,2011,2342
3499,2010,3183
3499,2009,3386
3499,2008,3427
3499,2007,3671
3499,2006,2518
3499,2005,3313
3499,2004,2521
3499,2003,1859
3499,2002,1343
3499,2001,1042
3499,2000,996
3499,1999,515
3499,1998,5907
3499,1997,7108
3499,1996,5955
3499,1995,52153
3570,2018,35450
3570,2017,35120
3570,2016,30471
3570,2015,30405
3570,2014,27222
3570,2013,29932
3570,2012,19695
3570,2011,21118
3570,2010,4917
3570,2009,5199
3570,2008,7432
3570,2007,5887
3570,2006,4625
3570,2005,4062
3570,2004,2446
3570,2003,3893
3570,2002,8112
3570,2001,8335
3570,2000,2748
3570,1999,1579
3570,1998,1633
3570,1997,40922
3570,1996,15346
3673,2011,4953
3673,2010,2508
3673,2009,14772
3673,2008,12093
3673,2007,53510
3673,2006,19616
