CIK,Year,Sentimental Score
2178,2015,1094
2178,2014,1258
2178,2014,1198
2178,2014,1275
2178,2013,1495
2178,2013,1198
2178,2013,1297
2178,2012,1917
2178,2012,1637
2178,2012,1737
2178,2011,1449
2178,2011,1763
2178,2011,1459
2178,2010,1383
2178,2010,1500
2178,2010,1149
2178,2009,891
2178,2009,861
2178,2009,0
2178,2008,0
2178,2008,0
2178,2008,0
2178,2007,0
2178,2007,0
2178,2007,0
2178,2006,0
2178,2006,0
2178,2006,0
2178,2006,0
2178,2005,0
2178,2005,0
2178,2005,2434
2178,2004,2054
2178,2004,0
2178,2004,0
2178,2003,0
2178,2003,0
2178,2003,0
2178,2002,0
2178,2002,0
2178,2002,0
2178,2001,0
2178,2001,0
2178,2001,0
2178,2000,0
2178,2000,0
2178,2000,0
2178,1999,0
2178,1999,0
2178,1999,0
2178,1998,0
2178,1998,0
2178,1998,0
2178,1997,0
2178,1997,0
2178,1997,0
2178,1996,0
2178,1996,0
2178,1996,0
2178,1995,0
2178,1995,0
2178,1995,0
2186,2018,1225
2186,2018,467
2186,2017,1342
2186,2017,1328
2186,2017,986
2186,2016,1597
2186,2016,1677
2186,2016,1402
2186,2015,1189
2186,2015,996
2186,2015,1301
2186,2014,1294
2186,2014,1174
2186,2014,1087
2186,2013,1238
2186,2013,1177
2186,2013,1220
2186,2012,973
2186,2012,0
2186,2012,916
2186,2012,396
2186,2012,396
2186,2011,879
2186,2011,720
2186,2011,848
2186,2010,1414
2186,2010,1718
2186,2010,0
2186,2009,2128
2186,2009,1781
2186,2009,1052
2186,2008,1743
2186,2008,1250
2186,2008,1265
2186,2007,1971
2186,2007,2322
2186,2007,1706
2186,2006,3128
2186,2006,3818
2186,2006,2888
2186,2005,2916
2186,2005,3116
2186,2005,2982
2186,2004,2315
2186,2004,2838
2186,2004,2016
2186,2003,414
2186,2003,879
2186,2003,605
2186,2002,0
2186,2002,1747
2186,2002,1395
2186,2002,1184
2186,2001,1135
2186,2001,875
2186,2001,625
2186,2000,878
2186,2000,828
2186,2000,0
2186,2000,628
2186,2000,510
2186,1999,118
2186,1999,494
2186,1999,625
2186,1998,306
2186,1998,127
2186,1998,-71
2186,1997,152
2186,1997,78
2186,1997,232
2186,1997,353
2186,1996,300
2186,1996,219
2186,1996,0
2186,1996,0
2186,1996,362
2186,1995,434
2186,1995,637
2488,2018,8102
2488,2018,9228
2488,2018,7935
2488,2017,13822
2488,2017,13600
2488,2017,10603
2488,2016,16536
2488,2016,12320
2488,2016,9000
2488,2015,0
2488,2015,11849
2488,2015,10466
2488,2015,2667
2488,2014,4771
2488,2014,0
2488,2014,5221
2488,2014,4271
2488,2013,5273
2488,2013,4331
2488,2013,3170
2488,2012,5105
2488,2012,5247
2488,2012,5133
2488,2011,8943
2488,2011,7585
2488,2011,0
2488,2011,6759
2488,2010,8726
2488,2010,11525
2488,2010,6288
2488,2009,10707
2488,2009,10265
2488,2009,10556
2488,2008,12190
2488,2008,8677
2488,2008,7179
2488,2007,10376
2488,2007,8596
2488,2007,8955
2488,2006,10004
2488,2006,9205
2488,2006,6027
2488,2005,16689
2488,2005,15433
2488,2005,12995
2488,2004,16177
2488,2004,13531
2488,2004,11897
2488,2003,0
2488,2003,7716
2488,2003,7884
2488,2003,7215
2488,2002,4932
2488,2002,3421
2488,2002,3441
2488,2002,0
2488,2002,4065
2488,2001,3261
2488,2001,3001
2488,2001,3308
2488,2000,3763
2488,2000,0
2488,2000,4256
2488,2000,3816
2488,1999,4750
2488,1999,5369
2488,1999,8013
2488,1998,3694
2488,1998,3723
2488,1998,7078
2488,1997,4718
2488,1997,3705
2488,1997,104085
2488,1997,0
2488,1996,21340
2488,1996,13561
2488,1996,2701
2488,1995,62411
2488,1995,5829
2488,1995,3336
2488,1994,22390
2488,1994,3271
2488,1994,1454
2488,1994,2777
2491,2014,12350
2491,2014,13121
2491,2014,2431
2491,2013,11730
2491,2013,11501
2491,2013,10320
2491,2012,9875
2491,2012,10535
2491,2012,10463
2491,2011,9600
2491,2011,8428
2491,2011,8571
2491,2010,7174
2491,2010,10010
2491,2010,9294
2491,2009,8513
2491,2009,11159
2491,2009,9293
2491,2008,7194
2491,2008,8492
2491,2008,3637
2491,2007,2787
2491,2007,3260
2491,2007,2746
2491,2007,2226
2491,2007,2296
2491,2006,2451
2491,2006,1588
2491,2005,836
2491,2005,1484
2491,2004,1066
2491,2004,2804
2491,2004,2512
2491,2003,1542
2491,2003,1730
2491,2003,1749
2491,2002,1720
2491,2002,3592
2491,2002,4018
2491,2001,2436
2491,2001,3263
2491,2001,3579
2491,2000,2294
2491,2000,3312
2491,2000,6029
2491,1999,3295
2491,1999,8352
2491,1999,8731
2491,1998,3850
2491,1998,9943
2491,1998,10273
2491,1997,3397
2491,1997,27286
2491,1997,0
2491,1997,18417
2491,1996,6769
2491,1996,5492
2491,1996,4134
2491,1995,2758
2491,1995,6643
2589,2003,1038
2589,2003,860
2589,2003,1189
2589,2002,1668
2589,2002,1682
2589,2002,1510
2589,2001,1224
2589,2001,858
2589,2001,1227
2589,2000,1058
2589,2000,1238
2589,2000,1218
2589,1999,1247
2589,1999,1331
2589,1999,1283
2589,1998,858
2589,1998,816
2589,1998,3596
2589,1997,825
2589,1997,745
2589,1997,965
2589,1996,820
2589,1996,698
2589,1996,696
2589,1996,670
2589,1995,460
2589,1995,460
2589,1995,460
2589,1995,500
2601,2011,1631
2601,2011,0
2601,2010,0
2601,2010,0
2601,2010,0
2601,2009,0
2601,2009,0
2601,2009,0
2601,2007,0
2601,2007,20
2601,2006,0
2601,2006,0
2601,2006,0
2601,2005,0
2601,2005,0
2601,2005,0
2601,2004,0
2601,2004,0
2601,2004,0
2601,2003,0
2601,2003,0
2601,2003,0
2601,2002,0
2601,2002,0
2601,2002,0
2601,2001,0
2601,2001,0
2601,2001,0
2601,2000,0
2601,2000,0
2601,2000,0
2601,1999,0
2601,1999,100
2601,1999,0
