CIK,Year,Sentimental Score
3499,2006,2102
3499,2005,1552
3499,2004,1938
3499,2003,2205
3499,2002,3328
3499,2001,2328
3499,2000,2581
3499,1999,364
3499,1998,8163
3499,1997,3954
3499,1996,2732
3499,1995,12337
3570,2018,27503
3570,2017,40524
3570,2016,44150
3570,2015,33210
3570,2014,28836
3570,2013,26815
3570,2012,19124
3570,2011,21083
3570,2010,20339
3570,2009,11993
3570,2008,17551
3570,2007,20935
3570,2006,17109
3570,2005,12276
3570,2004,6748
3570,2003,14561
3570,2002,7699
3570,2001,7890
3570,2000,13391
3570,1999,21719
3570,1998,14350
3570,1997,26877
3673,2010,20917
3673,2009,24203
3673,2008,22671
3673,2007,34638
3673,2006,24841
3673,2005,41084
3673,2004,36493
3673,2003,16224
3673,2002,0
3673,2001,0
3673,2000,0
3673,1999,0
3673,1998,0
3673,1997,0
3673,1996,0
3673,1995,0
3673,1994,0
3721,2003,0
3721,2002,0
3721,2001,0
3721,2000,0
3721,1999,0
3721,1998,0
3721,1997,0
3721,1996,0
3721,1995,0
3721,1994,0
3753,2004,4359
3753,2003,567
3753,2002,-221
3753,2001,1337
3753,2000,4869
3753,1999,11403
3753,1998,5291
3753,1997,5982
3753,1996,4306
3753,1995,3802
3753,1994,1959
3941,2000,4917
3941,1999,32952
3941,1998,10405
3941,1997,15875
3941,1996,5095
3941,1995,6865
3941,1994,3224
3952,2013,5466
3952,2012,8629
3952,2011,6019
3952,2010,3331
3952,2009,0
3952,2008,0
3952,2007,472
3952,2006,0
3952,2005,0
3952,2004,0
3952,2003,0
3952,2002,0
3952,2001,5376
3952,2000,3609
3952,1999,7198
3952,1998,6064
3952,1997,5668
3952,1996,5930
3952,1995,5657
3982,2011,8760
3982,2010,13959
3982,2009,9752
3982,2008,19953
3982,2007,21008
3982,2006,27236
3982,2005,92470
3982,2004,9662
3982,2003,3974
3982,2002,2886
3982,2001,9813
3982,2000,7042
3982,1999,18108
3982,1998,2543
3982,1997,1639
3982,1996,1325
3982,1995,461
4127,2018,20691
4127,2017,19438
4127,2016,17556
4127,2015,17901
4127,2014,16598
4127,2013,13356
4127,2012,16975
4127,2011,4493
4127,2010,7858
4127,2009,15816
4127,2008,8425
4127,2007,8951
4127,2006,13182
4127,2005,10025
4127,2004,15251
4127,2003,0
4127,2002,0
4127,2001,0
4127,2000,0
4127,1999,0
4127,1998,0
4127,1997,0
4127,1996,0
4127,1995,0
4164,2006,0
4164,2005,6944
4164,2004,8448
4164,2003,12062
4164,2002,8158
4164,2001,8957
4164,2000,4804
4164,1999,10280
4164,1998,16979
4164,1997,5870
4164,1996,2774
4164,1995,5639
4187,2018,0
4187,2017,0
4187,2016,9352
4187,2015,21626
4187,2014,34603
4187,2013,13751
4187,2012,25670
4187,2011,562
4187,2010,285
4187,2009,465
4187,2008,444
4187,2007,58
4187,2006,334
4187,2005,0
4187,2004,0
4187,2003,0
4187,2002,0
4187,2001,0
4187,2000,0
4187,1999,20
4187,1998,1980
4187,1997,4018
4281,2018,25122
4281,2017,3725
4281,2016,9182
4281,2015,9694
4281,2014,8086
4281,2013,6039
4281,2012,3443
4281,2011,7977
4281,2010,9072
4281,2009,14651
4281,2008,19938
4281,2007,15028
4281,2006,12423
4281,2005,7723
4281,2004,7117
4281,2003,5792
4281,2002,2490
4281,2001,5084
4281,2000,0
4281,1999,0
4281,1998,0
4281,1997,0
4281,1996,0
4281,1995,0
4281,1994,0
4285,2007,2848
4285,2006,3114
4285,2005,14535
4285,2004,9498
4285,2003,6743
4285,2002,1475
4285,2001,3042
4285,2000,22482
4285,1999,-302
4285,1998,1825
4285,1997,8981
4310,2001,917
4310,2000,4069
4310,1999,15715
4310,1998,4077
4310,1997,27839
4310,1996,29242
4310,1995,10758
4310,1994,18370
4317,2007,4171
4317,2006,6169
4344,2005,4226
4344,2004,4991
4344,2003,8841
4344,2002,6399
4344,2001,6025
4344,2000,7625
4344,1999,7179
4344,1998,4431
4344,1997,4265
4344,1996,4818
4344,1995,7668
4447,2018,6699
4447,2017,7795
4447,2016,6771
4447,2015,7204
4447,2014,14419
4447,2013,13667
4447,2012,9545
4447,2011,8666
4447,2010,8045
4447,2009,9363
4447,2008,10860
4447,2007,12599
4447,2006,12399
4447,2005,12436
4447,2004,10537
4447,2003,13897
4447,2002,6422
4447,2001,4459
4447,2000,6179
4447,1999,32096
4447,1998,4019
4447,1997,39163
4447,1996,4727
4447,1995,2837
4447,1994,3593
4611,2011,14449
4611,2010,16066
4611,2009,3444
4611,2008,18169
4611,2007,16280
4611,2006,20323
4611,2005,21761
4611,2004,12676
4611,2003,11946
4611,2002,1413
4611,2001,63
4611,2000,0
4611,1999,0
4611,1998,0
4611,1997,0
4611,1996,0
4611,1995,0
4904,2018,113404
4904,2017,70962
4904,2016,75418
4904,2015,101868
4904,2014,115256
4904,2013,139595
4904,2012,102553
4904,2011,120819
4904,2010,105023
4904,2009,48760
4904,2008,0
4904,2007,0
4904,2006,0
4904,2005,0
4904,2004,108949
4904,2003,20
4904,2002,60
4904,2001,60
4904,2000,69
4904,1999,0
4904,1998,0
4904,1997,0
4904,1996,0
4904,1995,0
4904,1994,0
5187,2009,20513
5187,2008,27837
5187,2007,28324
5187,2006,33192
5187,2005,17973
5187,2004,16658
5187,2003,8865
5187,2002,12772
5187,2001,17819
5187,2000,25810
5187,1999,13008
5187,1998,18659
5187,1997,16705
5187,1996,15317
5187,1995,9742
5187,1994,8926
5768,2016,0
5768,2015,0
5768,2014,0
5768,2013,0
5768,2012,0
5768,2011,0
5768,2010,0
5768,2009,0
5768,2008,0
5768,2007,0
5768,2006,0
5768,2005,0
5768,2004,0
5768,2003,0
5768,2002,0
5768,2001,0
5768,2000,0
5768,1999,0
5768,1998,0
5768,1997,0
5768,1996,0
5768,1995,0
5907,2005,27696
5907,2004,9968
5907,2003,12704
5907,2002,0
5907,2001,-40
5907,2000,0
5907,1999,0
5907,1998,0
5907,1997,0
5907,1996,0
5907,1995,0
5907,1994,0
5981,2018,3880
5981,2017,9088
5981,2016,10259
5981,2015,7362
5981,2014,5644
5981,2013,7248
5981,2012,8904
5981,2011,11027
5981,2010,5579
5981,2009,6226
5981,2008,11594
5981,2007,7074
5981,2006,8769
5981,2005,4915
5981,2004,29758
5981,2003,9780
5981,2002,7524
5981,2001,5046
5981,2000,5162
5981,1999,4039
5981,1998,3718
5981,1997,5863
5981,1996,3411
5981,1995,2866
6176,2018,0
6176,2017,0
6176,2016,0
6176,2015,0
6176,2014,0
6176,2013,0
6176,2012,0
6176,2011,0
